order_id,customer_id,date,crop_id,kg,sgd_total
O00274,C0033,2025-09-01,spinach,2.37,14.99
O00275,C0033,2026-03-06,spinach,2.29,13.62
O00276,C0033,2025-09-02,spinach,4.55,26.14
O00277,C0033,2026-02-01,spinach,3.7,19.45
O00278,C0034,2025-12-17,chye_sim,6.35,34.22
O00279,C0034,2025-10-09,chye_sim,9.54,57.45
O00280,C0034,2025-06-04,kai_lan,8.24,55.47
O00281,C0034,2026-02-20,chye_sim,6.24,31.12
O00282,C0035,2026-01-22,kai_lan,3.62,24.84
O00283,C0035,2026-04-08,kai_lan,1.05,6.92
O00284,C0035,2025-08-12,arugula,2.96,22.11
O00285,C0035,2025-10-05,kai_lan,0.98,6.78
O00286,C0035,2025-08-16,kai_lan,1.75,12.14
O00287,C0035,2026-03-06,kai_lan,1.15,8.18
O00288,C0035,2025-11-01,kai_lan,3.9,22.37
O00289,C0035,2026-04-01,lettuce,0.33,1.75
O00290,C0035,2025-11-19,kai_lan,3.4,21.85
O00291,C0035,2026-03-04,kai_lan,3.12,19.04
O00292,C0036,2025-11-10,spinach,2.92,23.74
O00293,C0036,2025-07-16,spinach,0.56,4.06
O00294,C0036,2025-09-03,lettuce,4.24,25.69
O00295,C0036,2025-08-04,spinach,2.26,15.72
O00296,C0036,2025-11-13,spinach,3.55,27.38
O00297,C0036,2026-04-04,spinach,2.44,18.75
O00298,C0036,2025-07-09,spinach,1.71,12.46
O00299,C0036,2026-01-01,chye_sim,4.26,27.3
O00300,C0036,2026-02-17,spinach,3.56,25.42
O00301,C0036,2026-03-17,spinach,1.29,9.02
O00302,C0036,2025-07-20,spinach,3.73,28.99
O00303,C0036,2025-08-04,spinach,3.54,29.44
O00304,C0036,2025-11-15,spinach,4.28,30.44
O00305,C0037,2026-04-06,arugula,0.91,6.65
O00306,C0037,2026-02-12,lettuce,4.1,21.93
O00307,C0038,2026-01-31,kai_lan,0.41,3.59
O00308,C0038,2025-12-18,kai_lan,3.19,26.42
O00309,C0038,2025-11-29,kai_lan,2.93,25.61
O00310,C0038,2025-11-20,kai_lan,3.54,28.17
O00311,C0038,2025-12-05,kai_lan,2.68,21.7
O00312,C0038,2025-11-19,kai_lan,1.87,15.38
O00313,C0038,2026-04-12,kai_lan,0.44,3.4
O00314,C0039,2025-12-14,lettuce,2.53,14.32
O00315,C0039,2025-10-23,spinach,3.25,26.79
O00316,C0039,2026-02-03,spinach,4.13,34.31
O00317,C0039,2025-10-03,spinach,3.71,26.72
O00318,C0039,2026-02-03,spinach,3.01,21.81
O00319,C0039,2026-04-10,spinach,4.86,34.69
O00320,C0039,2025-09-26,spinach,2.06,15.69
O00321,C0039,2025-10-31,spinach,2.13,16.43
O00322,C0039,2026-04-07,chye_sim,1.78,11.28
O00323,C0039,2026-01-02,spinach,4.42,32.32
O00324,C0039,2025-12-05,spinach,1.72,11.77
O00325,C0039,2026-04-07,spinach,1.25,8.5
O00326,C0040,2025-07-03,arugula,1.02,7.09
O00327,C0040,2026-02-23,lettuce,3.95,17.68
O00328,C0040,2025-08-10,arugula,3.48,22.85
O00329,C0040,2025-07-09,arugula,3.65,26.45
O00330,C0040,2025-06-23,arugula,0.51,3.95
O00331,C0040,2025-08-04,arugula,4.48,29.18
O00332,C0041,2026-01-24,kai_lan,3.86,25.96
O00333,C0041,2025-06-08,lettuce,1.2,5.59
O00334,C0041,2025-08-03,chye_sim,1.58,7.98
O00335,C0041,2025-04-20,lettuce,3.23,15.87
O00336,C0042,2026-04-05,spinach,1.8,12.38
O00337,C0042,2026-01-29,spinach,1.1,7.95
O00338,C0042,2026-02-12,spinach,0.54,3.6
O00339,C0042,2025-11-30,spinach,0.55,4.09
O00340,C0042,2026-01-02,arugula,3.26,31.89
O00341,C0043,2026-01-19,spinach,4.14,32.83
O00342,C0043,2025-08-30,chye_sim,2.49,16.22
O00343,C0043,2026-03-17,spinach,1.76,13.72
O00344,C0043,2026-03-16,spinach,4.75,32.77
O00345,C0043,2025-11-30,spinach,3.59,28.13
O00346,C0043,2026-01-03,spinach,0.44,3.31
O00347,C0043,2026-01-16,spinach,4.28,30.55
O00348,C0043,2026-01-15,spinach,0.9,6.13
O00349,C0043,2025-09-13,spinach,3.35,27.05
O00350,C0043,2026-03-14,spinach,2.24,17.4
O00351,C0043,2025-10-10,spinach,1.9,15.42
O00352,C0043,2026-02-26,spinach,4.0,30.49
O00353,C0043,2025-11-18,spinach,3.45,27.48
O00354,C0044,2026-01-10,kai_lan,3.1,19.32
O00355,C0044,2025-05-11,kai_lan,4.79,27.93
O00356,C0044,2025-05-17,lettuce,3.1,16.37
O00357,C0044,2025-09-06,lettuce,3.4,15.04
O00358,C0044,2025-06-02,arugula,3.29,20.85
O00359,C0044,2025-06-06,lettuce,2.43,11.31
O00360,C0045,2026-03-13,lettuce,1.27,6.77
O00361,C0045,2025-10-22,lettuce,4.59,21.45
O00362,C0046,2026-02-19,spinach,0.72,4.79
O00363,C0046,2025-12-28,spinach,0.9,6.45
O00364,C0046,2025-11-22,arugula,0.3,2.89
O00365,C0046,2025-11-19,spinach,1.63,10.88
O00366,C0046,2025-12-08,spinach,1.8,13.16
O00367,C0046,2025-11-25,spinach,1.29,8.98
O00368,C0046,2025-09-24,spinach,2.11,17.51
O00369,C0046,2026-03-23,spinach,1.66,13.6
O00370,C0046,2025-09-21,spinach,0.64,4.25
O00371,C0046,2026-02-20,lettuce,4.88,28.38
O00372,C0046,2025-09-24,spinach,2.25,16.82
O00373,C0046,2026-03-09,spinach,4.67,36.27
O00374,C0046,2025-12-14,spinach,2.89,21.56
O00375,C0047,2025-11-15,kai_lan,11.05,73.14
O00376,C0047,2026-03-25,kai_lan,10.02,63.72
O00377,C0047,2026-02-05,kai_lan,5.33,30.83
O00378,C0047,2026-01-20,kai_lan,9.82,66.72
O00379,C0048,2026-03-21,arugula,4.92,49.17
O00380,C0048,2026-02-15,spinach,2.76,21.36
O00381,C0048,2026-01-18,spinach,3.79,31.7
O00382,C0048,2025-12-27,spinach,2.83,21.78
O00383,C0048,2026-03-06,spinach,1.91,15.4
O00384,C0048,2026-02-16,spinach,4.56,34.98
O00385,C0048,2026-01-29,spinach,4.81,38.9
O00386,C0049,2025-11-30,kai_lan,4.64,31.95
O00387,C0049,2026-03-12,kai_lan,3.26,21.57
O00388,C0049,2026-03-14,kai_lan,4.95,34.59
O00389,C0049,2026-03-27,kai_lan,2.58,15.26
O00390,C0050,2026-02-21,kai_lan,3.19,19.64
O00391,C0050,2026-02-18,kai_lan,0.82,4.94
O00392,C0050,2026-04-02,lettuce,2.04,9.21
O00393,C0050,2026-04-16,kai_lan,1.15,7.52
O00394,C0051,2026-03-09,arugula,3.1,24.04
O00395,C0051,2026-04-10,kai_lan,4.97,34.4
O00396,C0052,2026-03-10,kai_lan,10.78,75.8
O00397,C0052,2025-12-01,kai_lan,12.55,74.09
O00398,C0053,2026-02-15,chye_sim,1.72,10.0
O00399,C0053,2026-03-24,spinach,3.51,19.83
O00400,C0054,2025-11-25,arugula,2.34,16.02
O00401,C0054,2026-02-10,arugula,1.78,12.94
O00402,C0055,2026-02-22,lettuce,4.79,23.11
O00403,C0055,2026-04-15,spinach,1.58,8.67
O00404,C0056,2025-04-12,lettuce,10.84,52.63
O00405,C0056,2026-02-01,chye_sim,10.89,55.5
O00406,C0056,2025-08-12,lettuce,14.93,69.89
O00407,C0056,2025-02-26,lettuce,13.32,57.61
O00408,C0057,2026-03-25,spinach,2.4,12.96
O00409,C0057,2026-02-22,spinach,0.46,2.74
O00410,C0057,2026-01-24,lettuce,4.23,22.95
O00411,C0058,2025-06-23,kai_lan,4.33,33.3
O00412,C0058,2026-03-24,lettuce,4.08,23.99
O00413,C0058,2025-06-17,kai_lan,1.49,12.5
O00414,C0058,2025-05-30,kai_lan,4.64,37.08
O00415,C0058,2025-11-26,kai_lan,3.44,30.93
O00416,C0058,2025-08-31,kai_lan,0.65,5.84
O00417,C0058,2025-11-03,kai_lan,4.98,39.65
O00418,C0058,2025-09-04,kai_lan,0.63,5.9
O00419,C0058,2025-08-02,kai_lan,1.14,9.6
O00420,C0058,2025-07-04,kai_lan,2.33,20.2
O00421,C0058,2025-06-15,chye_sim,0.79,5.04
O00422,C0058,2026-02-08,chye_sim,0.39,2.77
O00423,C0058,2026-03-22,kai_lan,4.68,41.15
O00424,C0058,2025-09-05,kai_lan,1.85,15.23
O00425,C0058,2025-04-23,kai_lan,4.72,39.77
O00426,C0058,2025-12-01,kai_lan,3.72,33.79
O00427,C0058,2025-05-27,kai_lan,0.32,2.96
O00428,C0058,2025-12-24,kai_lan,2.82,26.6
O00429,C0058,2025-10-09,kai_lan,2.18,19.03
O00430,C0058,2026-03-19,kai_lan,2.81,26.4
O00431,C0058,2025-06-02,chye_sim,1.66,11.04
O00432,C0058,2026-01-30,kai_lan,2.11,16.47
O00433,C0058,2026-04-13,kai_lan,0.8,7.08
O00434,C0058,2025-12-27,kai_lan,3.27,29.23
O00435,C0058,2025-07-02,kai_lan,0.42,3.96
O00436,C0058,2025-08-22,kai_lan,0.6,5.09
O00437,C0059,2026-02-23,spinach,4.22,24.18
O00438,C0059,2025-10-23,spinach,0.56,3.49
O00439,C0059,2025-10-29,spinach,1.29,7.79
O00440,C0059,2026-03-01,spinach,3.49,22.04
O00441,C0059,2025-11-26,spinach,0.64,3.91
O00442,C0059,2026-02-21,spinach,2.51,16.05
O00443,C0060,2026-03-03,kai_lan,1.11,6.43
O00444,C0060,2026-03-07,kai_lan,3.17,22.28
O00445,C0061,2026-01-30,lettuce,3.1,15.59
O00446,C0061,2026-01-25,spinach,4.11,26.62
O00447,C0062,2025-11-13,kai_lan,14.76,97.68
O00448,C0062,2025-07-01,kai_lan,14.65,88.65
O00449,C0062,2025-05-15,kai_lan,8.36,49.36
O00450,C0062,2025-07-03,kai_lan,8.7,52.0
O00451,C0062,2025-08-24,kai_lan,6.0,42.25
O00452,C0062,2026-03-01,kai_lan,6.58,46.65
O00453,C0063,2026-01-17,chye_sim,14.26,82.33
O00454,C0063,2026-04-02,spinach,13.07,80.79
O00455,C0064,2025-05-26,spinach,3.31,25.07
O00456,C0064,2025-10-19,spinach,1.12,8.84
O00457,C0064,2026-01-22,spinach,2.65,22.14
O00458,C0064,2026-02-07,spinach,2.27,17.34
O00459,C0064,2025-06-29,spinach,2.79,19.01
O00460,C0064,2025-09-24,arugula,2.69,24.92
O00461,C0064,2026-02-06,spinach,1.6,11.17
O00462,C0064,2025-06-07,spinach,4.85,36.36
O00463,C0064,2025-06-21,spinach,4.64,31.22
O00464,C0064,2025-09-25,spinach,2.34,16.96
O00465,C0064,2026-04-15,spinach,0.79,5.32
O00466,C0064,2025-12-23,spinach,3.99,29.99
O00467,C0064,2025-05-21,spinach,1.41,10.46
O00468,C0064,2026-01-13,spinach,1.23,9.7
O00469,C0064,2025-09-05,spinach,0.82,5.76
O00470,C0065,2026-03-03,spinach,1.34,10.01
O00471,C0065,2026-03-22,arugula,2.35,20.49
O00472,C0065,2026-03-14,arugula,2.06,19.04
O00473,C0065,2026-01-06,arugula,4.89,42.46
O00474,C0065,2025-12-20,arugula,2.97,26.36
O00475,C0065,2025-12-16,spinach,1.1,8.02
O00476,C0065,2026-02-01,arugula,4.01,38.79
O00477,C0065,2025-12-31,arugula,2.9,25.37
O00478,C0065,2026-03-03,lettuce,4.98,32.42
O00479,C0065,2026-03-16,arugula,3.73,36.9
O00480,C0066,2026-01-20,chye_sim,3.02,18.19
O00481,C0066,2025-12-26,arugula,2.26,14.51
O00482,C0067,2026-04-05,lettuce,2.8,13.63
O00483,C0067,2025-09-09,lettuce,1.43,7.11
O00484,C0068,2026-04-01,arugula,0.92,8.22
O00485,C0068,2026-03-29,kai_lan,3.44,26.74
O00486,C0069,2025-08-02,spinach,6.39,38.85
O00487,C0069,2025-10-23,spinach,9.64,57.72
O00488,C0069,2025-08-26,kai_lan,11.91,77.97
O00489,C0069,2025-12-19,kai_lan,7.7,55.39
O00490,C0069,2025-11-04,kai_lan,13.81,94.83
O00491,C0069,2025-08-18,kai_lan,14.1,88.66
O00492,C0070,2026-02-23,kai_lan,2.49,14.39
O00493,C0070,2026-03-11,kai_lan,2.93,17.04
O00494,C0071,2025-07-05,chye_sim,1.87,10.41
O00495,C0071,2026-02-18,chye_sim,4.71,26.43
O00496,C0072,2025-07-08,chye_sim,1.81,10.88
O00497,C0072,2025-12-05,spinach,1.6,8.32
O00498,C0073,2026-01-12,kai_lan,2.78,16.41
O00499,C0073,2026-03-19,kai_lan,4.18,29.77
O00500,C0073,2026-01-12,kai_lan,4.06,29.21
