customer_id,purchase_frequency,avg_order_sgd,organic_preference,bulk_buyer,live_commerce_active,top_crop
C0352,7,38.48,0.321,False,True,kai_lan
C0353,5,31.72,0.492,False,True,arugula
C0354,2,11.16,0.093,False,False,spinach
C0355,8,42.22,0.217,False,True,arugula
C0356,3,13.34,0.149,False,False,chye_sim
C0357,4,112.64,0.154,True,False,chye_sim
C0358,1,19.99,0.149,False,False,spinach
C0359,1,107.41,0.179,True,False,kai_lan
C0360,2,13.58,0.014,False,False,kai_lan
C0361,3,14.97,0.222,False,False,spinach
C0362,1,13.59,0.112,False,False,arugula
C0363,3,16.55,0.263,False,False,kai_lan
C0364,10,38.92,0.957,False,False,kai_lan
C0365,2,13.01,0.22,False,False,kai_lan
C0366,5,20.04,0.452,False,True,arugula
C0367,4,19.84,0.062,False,False,arugula
C0368,4,24.02,0.013,False,False,arugula
C0369,13,27.24,0.901,False,False,spinach
C0370,4,24.01,0.088,False,False,spinach
C0371,1,98.65,0.189,True,False,chye_sim
C0372,6,29.25,0.307,False,True,kai_lan
C0373,7,31.45,0.861,False,False,spinach
C0374,3,15.2,0.119,False,False,kai_lan
C0375,3,33.86,0.367,False,True,kai_lan
C0376,13,36.17,0.997,False,False,kai_lan
C0377,1,13.96,0.275,False,False,chye_sim
C0378,14,26.52,0.866,False,False,spinach
C0379,2,17.08,0.009,False,False,spinach
C0380,4,39.42,0.21,False,True,arugula
C0381,4,39.28,0.284,False,True,kai_lan
C0382,3,19.59,0.238,False,False,spinach
C0383,3,21.94,0.117,False,False,chye_sim
C0384,2,196.88,0.198,True,False,chye_sim
C0385,2,149.08,0.183,True,False,kai_lan
C0386,3,28.28,0.053,False,False,chye_sim
C0387,4,20.84,0.043,False,False,kai_lan
C0388,7,34.95,0.844,False,False,arugula
C0389,3,87.15,0.184,True,False,chye_sim
C0390,8,36.21,0.969,False,False,spinach
C0391,13,48.76,0.865,False,False,kai_lan
C0392,12,31.7,0.939,False,False,spinach
C0393,1,193.85,0.059,True,False,kai_lan
C0394,2,22.79,0.01,False,False,lettuce
C0395,2,156.34,0.048,True,False,lettuce
C0396,3,14.19,0.266,False,False,spinach
C0397,4,29.38,0.0,False,False,lettuce
C0398,7,39.53,0.313,False,True,kai_lan
C0399,8,27.23,0.859,False,False,spinach
C0400,3,21.88,0.283,False,False,lettuce
C0401,9,26.61,0.833,False,False,arugula
C0402,5,39.82,0.417,False,True,kai_lan
C0403,5,20.11,0.452,False,True,arugula
C0404,2,22.76,0.06,False,False,lettuce
C0405,11,27.73,0.879,False,False,spinach
C0406,4,19.3,0.056,False,False,spinach
C0407,12,49.25,0.939,False,False,arugula
C0408,13,53.97,0.968,False,False,arugula
C0409,1,20.04,0.143,False,False,chye_sim
C0410,4,13.46,0.044,False,False,arugula
C0411,4,14.04,0.013,False,False,kai_lan
C0412,1,11.74,0.273,False,False,lettuce
C0413,4,12.25,0.137,False,False,lettuce
C0414,1,25.71,0.277,False,False,arugula
C0415,4,10.75,0.115,False,False,kai_lan
C0416,3,23.81,0.121,False,False,lettuce
C0417,3,117.31,0.004,True,False,lettuce
C0418,4,25.48,0.04,False,False,chye_sim
C0419,4,24.82,0.056,False,False,arugula
C0420,4,12.71,0.237,False,False,arugula
C0421,7,32.48,0.975,False,False,arugula
C0422,4,22.71,0.111,False,False,kai_lan
C0423,6,37.61,0.334,False,True,kai_lan
C0424,1,17.73,0.249,False,False,lettuce
C0425,3,23.03,0.194,False,False,arugula
C0426,2,22.02,0.003,False,False,spinach
C0427,3,18.48,0.214,False,False,spinach
C0428,4,150.14,0.06,True,False,lettuce
C0429,3,15.97,0.168,False,False,kai_lan
C0430,3,13.77,0.098,False,False,spinach
C0431,12,45.42,0.962,False,False,kai_lan
C0432,1,21.66,0.272,False,False,chye_sim
C0433,4,188.78,0.044,True,False,chye_sim
C0434,1,19.42,0.263,False,False,chye_sim
C0435,1,14.45,0.284,False,False,arugula
C0436,6,45.54,0.312,False,True,arugula
C0437,1,27.35,0.021,False,False,spinach
C0438,13,54.62,0.827,False,False,arugula
C0439,12,43.93,0.836,False,False,kai_lan
C0440,9,39.69,0.842,False,False,spinach
C0441,4,17.67,0.129,False,False,kai_lan
C0442,7,25.72,0.468,False,True,spinach
C0443,1,126.03,0.175,True,False,kai_lan
C0444,3,18.67,0.285,False,False,kai_lan
C0445,4,10.38,0.108,False,False,arugula
C0446,12,46.33,0.918,False,False,spinach
C0447,1,23.24,0.16,False,False,kai_lan
C0448,3,19.49,0.133,False,False,chye_sim
C0449,3,22.46,0.126,False,False,spinach
C0450,1,25.7,0.216,False,False,lettuce
C0451,4,15.91,0.292,False,False,lettuce
C0452,8,52.21,0.866,False,False,kai_lan
C0453,8,52.14,0.956,False,False,kai_lan
C0454,2,27.48,0.139,False,False,spinach
C0455,1,10.19,0.222,False,False,lettuce
C0456,1,124.71,0.191,True,False,kai_lan
C0457,6,44.0,0.282,False,True,arugula
C0458,9,28.11,0.945,False,False,kai_lan
C0459,3,22.23,0.054,False,False,arugula
C0460,4,18.81,0.145,False,False,lettuce
C0461,10,54.34,0.905,False,False,spinach
C0462,8,27.46,0.385,False,True,spinach
C0463,3,39.3,0.468,False,True,arugula
C0464,2,16.62,0.022,False,False,lettuce
C0465,4,18.88,0.121,False,False,kai_lan
C0466,8,20.53,0.236,False,True,kai_lan
C0467,8,29.14,0.438,False,True,kai_lan
C0468,2,26.89,0.109,False,False,chye_sim
C0469,1,11.95,0.197,False,False,kai_lan
C0470,3,164.25,0.193,True,False,kai_lan
C0471,11,43.33,0.949,False,False,arugula
C0472,5,23.23,0.447,False,True,arugula
C0473,4,23.17,0.037,False,False,kai_lan
C0474,6,45.16,0.421,False,True,spinach
C0475,2,12.07,0.208,False,False,lettuce
C0476,2,112.83,0.084,True,False,lettuce
C0477,8,35.37,0.241,False,True,spinach
C0478,2,105.17,0.187,True,False,chye_sim
C0479,2,20.08,0.294,False,False,spinach
C0480,13,45.23,0.912,False,False,kai_lan
C0481,1,17.62,0.242,False,False,kai_lan
C0482,3,97.57,0.032,True,False,lettuce
C0483,8,43.48,0.806,False,False,kai_lan
C0484,11,45.79,0.912,False,False,spinach
C0485,7,21.61,0.493,False,True,kai_lan
C0486,3,25.1,0.249,False,False,lettuce
C0487,1,13.74,0.088,False,False,lettuce
C0488,4,37.52,0.284,False,True,kai_lan
C0489,1,25.47,0.012,False,False,chye_sim
C0490,3,143.05,0.115,True,False,chye_sim
C0491,1,16.99,0.125,False,False,lettuce
C0492,4,199.6,0.044,True,False,lettuce
C0493,10,53.77,0.869,False,False,spinach
C0494,3,10.49,0.116,False,False,chye_sim
C0495,8,25.78,0.334,False,True,arugula
C0496,8,31.32,0.908,False,False,spinach
C0497,4,22.93,0.062,False,False,chye_sim
C0498,8,26.63,0.943,False,False,kai_lan
C0499,4,22.6,0.273,False,False,kai_lan
C0500,1,25.12,0.002,False,False,chye_sim
