date,crop_id,kg_shipped,price_sgd_per_kg
2025-10-23,arugula,15.1,8.31
2025-10-23,pak_choi,60.5,3.62
2025-10-23,kale,24.4,11.37
2025-10-23,basil_thai,10.4,15.22
2025-10-23,coriander,17.0,11.07
2025-10-23,mint,10.3,13.97
2025-10-24,kai_lan,48.3,3.92
2025-10-24,baby_spinach,18.1,4.2
2025-10-24,lettuce_mambo,47.7,3.62
2025-10-24,chye_sim,31.9,4.97
2025-10-24,arugula,14.6,7.23
2025-10-24,pak_choi,60.8,3.36
2025-10-24,kale,16.9,9.67
2025-10-24,basil_thai,11.0,14.53
2025-10-24,coriander,16.4,10.74
2025-10-24,mint,9.4,17.12
2025-10-25,kai_lan,39.4,5.5
2025-10-25,baby_spinach,26.9,6.52
2025-10-25,lettuce_mambo,49.5,3.73
2025-10-25,chye_sim,18.7,4.22
2025-10-25,arugula,9.3,8.53
2025-10-25,pak_choi,59.6,3.63
2025-10-25,kale,17.1,9.91
2025-10-25,basil_thai,10.0,16.31
2025-10-25,coriander,9.4,11.63
2025-10-25,mint,6.7,12.21
2025-10-26,kai_lan,55.2,5.13
2025-10-26,baby_spinach,21.1,4.65
2025-10-26,lettuce_mambo,34.0,3.58
2025-10-26,chye_sim,44.6,4.22
2025-10-26,arugula,10.0,8.37
2025-10-26,pak_choi,44.3,3.4
2025-10-26,kale,18.4,9.42
2025-10-26,basil_thai,12.3,15.48
2025-10-26,coriander,15.8,11.24
2025-10-26,mint,11.4,15.95
2025-10-27,kai_lan,31.9,3.88
2025-10-27,baby_spinach,40.7,5.83
2025-10-27,lettuce_mambo,62.8,3.62
2025-10-27,chye_sim,46.6,4.07
2025-10-27,arugula,13.1,9.25
2025-10-27,pak_choi,57.8,3.17
2025-10-27,kale,16.8,9.91
2025-10-27,basil_thai,6.9,15.89
2025-10-27,coriander,12.7,13.26
2025-10-27,mint,5.8,13.06
2025-10-28,kai_lan,24.0,3.92
2025-10-28,baby_spinach,33.7,5.84
2025-10-28,lettuce_mambo,55.8,3.74
2025-10-28,chye_sim,38.0,3.5
2025-10-28,arugula,14.5,8.53
2025-10-28,pak_choi,64.7,3.69
2025-10-28,kale,19.7,11.33
2025-10-28,basil_thai,10.2,14.57
2025-10-28,coriander,12.7,10.86
2025-10-28,mint,8.0,12.93
2025-10-29,kai_lan,46.2,4.73
2025-10-29,baby_spinach,33.2,5.31
2025-10-29,lettuce_mambo,62.8,4.1
2025-10-29,chye_sim,35.4,3.67
2025-10-29,arugula,14.6,8.15
2025-10-29,pak_choi,54.3,3.48
2025-10-29,kale,19.9,8.69
2025-10-29,basil_thai,10.9,12.96
2025-10-29,coriander,18.1,13.37
2025-10-29,mint,10.0,14.44
2025-10-30,kai_lan,13.4,3.69
2025-10-30,baby_spinach,29.7,5.04
2025-10-30,lettuce_mambo,60.3,4.6
2025-10-30,chye_sim,26.3,3.58
2025-10-30,arugula,13.7,9.29
2025-10-30,pak_choi,54.0,3.59
2025-10-30,kale,24.1,8.01
2025-10-30,basil_thai,7.7,14.41
2025-10-30,coriander,13.1,12.89
2025-10-30,mint,10.5,11.87
2025-10-31,kai_lan,51.0,4.1
2025-10-31,baby_spinach,40.1,5.44
2025-10-31,lettuce_mambo,50.5,4.02
2025-10-31,chye_sim,40.3,4.22
2025-10-31,arugula,9.3,8.43
2025-10-31,pak_choi,52.5,3.58
2025-10-31,kale,13.6,9.9
2025-10-31,basil_thai,8.2,13.2
2025-10-31,coriander,15.6,12.27
2025-10-31,mint,8.7,15.74
2025-11-01,kai_lan,30.4,4.52
2025-11-01,baby_spinach,28.8,5.44
2025-11-01,lettuce_mambo,52.5,3.59
2025-11-01,chye_sim,21.7,4.68
2025-11-01,arugula,9.2,6.07
2025-11-01,pak_choi,62.8,4.39
2025-11-01,kale,16.9,7.76
2025-11-01,basil_thai,10.0,14.6
2025-11-01,coriander,13.6,10.78
2025-11-01,mint,11.1,14.63
2025-11-02,kai_lan,16.6,4.99
2025-11-02,baby_spinach,42.4,6.15
2025-11-02,lettuce_mambo,48.5,3.74
2025-11-02,chye_sim,30.1,3.13
2025-11-02,arugula,11.7,7.69
2025-11-02,pak_choi,64.7,3.44
2025-11-02,kale,23.3,8.51
2025-11-02,basil_thai,11.9,15.45
2025-11-02,coriander,12.0,12.2
2025-11-02,mint,12.2,13.61
2025-11-03,kai_lan,22.2,4.49
2025-11-03,baby_spinach,24.5,5.69
2025-11-03,lettuce_mambo,54.7,3.12
2025-11-03,chye_sim,22.1,4.24
2025-11-03,arugula,11.9,5.95
2025-11-03,pak_choi,64.8,3.6
2025-11-03,kale,16.1,8.31
2025-11-03,basil_thai,11.7,15.49
2025-11-03,coriander,20.0,12.46
2025-11-03,mint,10.5,13.8
2025-11-04,kai_lan,57.8,4.94
2025-11-04,baby_spinach,41.9,5.53
2025-11-04,lettuce_mambo,55.0,3.61
2025-11-04,chye_sim,42.7,4.75
2025-11-04,arugula,12.5,7.66
2025-11-04,pak_choi,64.3,3.41
2025-11-04,kale,21.8,7.47
2025-11-04,basil_thai,8.7,13.9
2025-11-04,coriander,8.8,10.94
2025-11-04,mint,8.8,13.76
2025-11-05,kai_lan,62.2,4.33
2025-11-05,baby_spinach,25.9,5.95
2025-11-05,lettuce_mambo,63.9,3.41
2025-11-05,chye_sim,29.4,4.28
2025-11-05,arugula,13.4,8.52
2025-11-05,pak_choi,63.0,3.75
2025-11-05,kale,16.3,9.49
2025-11-05,basil_thai,10.1,13.3
2025-11-05,coriander,10.9,12.75
2025-11-05,mint,9.9,12.77
2025-11-06,kai_lan,44.7,5.29
2025-11-06,baby_spinach,15.6,4.65
2025-11-06,lettuce_mambo,51.5,4.38
2025-11-06,chye_sim,38.0,4.38
2025-11-06,arugula,11.2,7.1
2025-11-06,pak_choi,64.1,3.52
2025-11-06,kale,20.5,9.33
2025-11-06,basil_thai,10.8,15.22
2025-11-06,coriander,16.4,12.89
2025-11-06,mint,7.6,11.3
2025-11-07,kai_lan,57.6,5.33
2025-11-07,baby_spinach,23.7,4.33
2025-11-07,lettuce_mambo,54.7,4.17
2025-11-07,chye_sim,48.6,4.26
2025-11-07,arugula,12.2,7.29
2025-11-07,pak_choi,58.9,3.4
2025-11-07,kale,15.1,11.34
2025-11-07,basil_thai,13.4,16.59
2025-11-07,coriander,11.6,12.94
2025-11-07,mint,10.8,14.53
2025-11-08,kai_lan,53.3,4.94
2025-11-08,baby_spinach,33.0,6.57
2025-11-08,lettuce_mambo,51.9,3.09
2025-11-08,chye_sim,25.6,3.72
2025-11-08,arugula,9.0,9.35
2025-11-08,pak_choi,63.6,3.98
2025-11-08,kale,19.1,10.72
2025-11-08,basil_thai,10.7,15.28
2025-11-08,coriander,11.4,12.44
2025-11-08,mint,10.4,12.44
2025-11-09,kai_lan,36.1,4.44
2025-11-09,baby_spinach,41.2,6.8
2025-11-09,lettuce_mambo,50.6,3.9
2025-11-09,chye_sim,25.6,3.9
2025-11-09,arugula,9.5,7.88
2025-11-09,pak_choi,49.2,3.06
2025-11-09,kale,20.0,9.85
2025-11-09,basil_thai,7.2,14.83
2025-11-09,coriander,16.8,13.17
2025-11-09,mint,12.0,14.05
2025-11-10,kai_lan,33.6,3.74
2025-11-10,baby_spinach,34.6,6.34
2025-11-10,lettuce_mambo,62.5,4.24
2025-11-10,chye_sim,33.9,3.38
2025-11-10,arugula,12.6,8.17
2025-11-10,pak_choi,58.9,3.3
2025-11-10,kale,19.3,9.05
2025-11-10,basil_thai,8.8,15.44
2025-11-10,coriander,13.2,12.27
2025-11-10,mint,10.4,12.63
2025-11-11,kai_lan,40.3,5.51
2025-11-11,baby_spinach,24.6,4.2
2025-11-11,lettuce_mambo,47.3,3.81
2025-11-11,chye_sim,36.6,3.94
2025-11-11,arugula,16.1,5.86
2025-11-11,pak_choi,64.8,4.05
2025-11-11,kale,15.8,9.16
2025-11-11,basil_thai,8.9,13.75
2025-11-11,coriander,13.9,13.57
2025-11-11,mint,13.3,13.6
2025-11-12,kai_lan,73.0,4.52
2025-11-12,baby_spinach,47.8,5.92
2025-11-12,lettuce_mambo,59.2,3.95
2025-11-12,chye_sim,62.2,4.43
2025-11-12,arugula,12.7,8.78
2025-11-12,pak_choi,61.0,3.33
2025-11-12,kale,22.5,9.53
2025-11-12,basil_thai,11.1,15.02
2025-11-12,coriander,15.9,12.47
2025-11-12,mint,7.3,14.8
2025-11-13,kai_lan,32.8,3.49
2025-11-13,baby_spinach,33.3,6.08
2025-11-13,lettuce_mambo,53.1,4.13
2025-11-13,chye_sim,25.0,3.8
2025-11-13,arugula,12.5,7.96
2025-11-13,pak_choi,63.2,3.15
2025-11-13,kale,21.4,9.56
2025-11-13,basil_thai,6.5,12.26
2025-11-13,coriander,14.6,11.76
2025-11-13,mint,9.9,13.97
2025-11-14,kai_lan,47.1,5.16
2025-11-14,baby_spinach,24.0,4.95
2025-11-14,lettuce_mambo,48.5,3.92
2025-11-14,chye_sim,44.2,3.78
2025-11-14,arugula,8.1,6.64
2025-11-14,pak_choi,54.0,3.3
2025-11-14,kale,17.2,9.53
2025-11-14,basil_thai,9.2,16.47
2025-11-14,coriander,12.3,11.05
2025-11-14,mint,10.4,12.16
2025-11-15,kai_lan,41.7,4.57
2025-11-15,baby_spinach,27.2,7.43
2025-11-15,lettuce_mambo,47.0,4.62
2025-11-15,chye_sim,23.2,3.36
2025-11-15,arugula,11.9,7.14
2025-11-15,pak_choi,48.8,3.64
2025-11-15,kale,20.3,8.94
2025-11-15,basil_thai,12.7,16.62
2025-11-15,coriander,17.9,12.58
2025-11-15,mint,12.3,11.74
2025-11-16,kai_lan,32.5,3.89
2025-11-16,baby_spinach,29.5,5.49
2025-11-16,lettuce_mambo,50.0,4.55
2025-11-16,chye_sim,23.9,4.21
2025-11-16,arugula,11.4,8.06
2025-11-16,pak_choi,53.9,3.66
2025-11-16,kale,22.3,10.98
2025-11-16,basil_thai,11.4,15.83
2025-11-16,coriander,11.6,11.9
2025-11-16,mint,11.8,15.04
2025-11-17,kai_lan,47.9,5.12
2025-11-17,baby_spinach,36.7,7.08
2025-11-17,lettuce_mambo,57.3,3.66
2025-11-17,chye_sim,37.7,2.8
2025-11-17,arugula,14.2,5.6
2025-11-17,pak_choi,49.9,3.66
2025-11-17,kale,20.3,8.45
2025-11-17,basil_thai,8.6,16.92
2025-11-17,coriander,13.1,14.47
2025-11-17,mint,9.9,14.49
2025-11-18,kai_lan,68.6,4.59
2025-11-18,baby_spinach,26.8,5.9
2025-11-18,lettuce_mambo,57.7,3.25
2025-11-18,chye_sim,34.3,3.63
2025-11-18,arugula,15.8,8.03
2025-11-18,pak_choi,60.9,3.46
2025-11-18,kale,20.2,10.06
2025-11-18,basil_thai,8.4,13.54
2025-11-18,coriander,17.7,11.55
2025-11-18,mint,8.0,14.53
2025-11-19,kai_lan,53.6,3.43
2025-11-19,baby_spinach,37.4,6.66
2025-11-19,lettuce_mambo,61.0,4.05
2025-11-19,chye_sim,25.5,4.17
2025-11-19,arugula,13.6,7.61
2025-11-19,pak_choi,68.7,4.02
2025-11-19,kale,25.5,10.68
2025-11-19,basil_thai,10.4,15.49
2025-11-19,coriander,17.3,12.13
2025-11-19,mint,10.3,14.99
2025-11-20,kai_lan,45.3,3.99
2025-11-20,baby_spinach,31.6,6.57
2025-11-20,lettuce_mambo,57.5,3.94
2025-11-20,chye_sim,41.2,3.81
2025-11-20,arugula,15.3,8.3
2025-11-20,pak_choi,54.4,4.0
2025-11-20,kale,18.1,8.01
2025-11-20,basil_thai,8.2,13.57
2025-11-20,coriander,15.1,11.7
2025-11-20,mint,9.3,14.74
2025-11-21,kai_lan,48.8,4.72
2025-11-21,baby_spinach,36.3,6.55
2025-11-21,lettuce_mambo,43.4,3.65
2025-11-21,chye_sim,16.8,4.02
2025-11-21,arugula,13.2,8.84
2025-11-21,pak_choi,66.4,3.57
2025-11-21,kale,17.3,9.94
2025-11-21,basil_thai,8.8,15.0
2025-11-21,coriander,16.8,11.39
2025-11-21,mint,10.7,14.81
2025-11-22,kai_lan,23.6,5.18
2025-11-22,baby_spinach,34.4,6.09
2025-11-22,lettuce_mambo,46.6,3.46
2025-11-22,chye_sim,20.7,4.27
2025-11-22,arugula,9.9,8.35
2025-11-22,pak_choi,46.1,3.43
2025-11-22,kale,19.3,11.7
2025-11-22,basil_thai,8.0,17.06
2025-11-22,coriander,15.0,12.45
2025-11-22,mint,10.1,14.53
2025-11-23,kai_lan,34.8,5.52
2025-11-23,baby_spinach,26.0,7.02
2025-11-23,lettuce_mambo,47.8,3.78
2025-11-23,chye_sim,16.7,4.23
2025-11-23,arugula,14.8,7.94
2025-11-23,pak_choi,52.9,3.11
2025-11-23,kale,18.5,8.07
2025-11-23,basil_thai,9.0,15.32
2025-11-23,coriander,18.1,15.09
2025-11-23,mint,9.0,15.72
2025-11-24,kai_lan,48.5,4.39
2025-11-24,baby_spinach,37.2,6.06
2025-11-24,lettuce_mambo,56.8,3.64
2025-11-24,chye_sim,23.9,3.23
2025-11-24,arugula,14.8,7.78
2025-11-24,pak_choi,57.0,3.5
2025-11-24,kale,21.6,9.66
2025-11-24,basil_thai,8.8,16.72
2025-11-24,coriander,18.6,12.54
2025-11-24,mint,11.2,15.49
2025-11-25,kai_lan,62.2,4.93
2025-11-25,baby_spinach,39.8,6.47
2025-11-25,lettuce_mambo,52.4,4.08
2025-11-25,chye_sim,25.6,3.6
2025-11-25,arugula,16.6,8.67
2025-11-25,pak_choi,71.8,3.4
2025-11-25,kale,16.5,9.28
2025-11-25,basil_thai,10.7,15.11
2025-11-25,coriander,18.0,11.6
2025-11-25,mint,10.5,12.81
2025-11-26,kai_lan,53.7,4.5
2025-11-26,baby_spinach,30.8,5.79
2025-11-26,lettuce_mambo,58.6,3.69
2025-11-26,chye_sim,51.0,3.95
2025-11-26,arugula,13.6,6.32
2025-11-26,pak_choi,58.6,3.41
2025-11-26,kale,18.5,10.74
2025-11-26,basil_thai,10.4,16.8
2025-11-26,coriander,15.9,12.04
2025-11-26,mint,9.5,14.0
2025-11-27,kai_lan,69.6,3.15
2025-11-27,baby_spinach,20.5,5.51
2025-11-27,lettuce_mambo,58.1,4.08
2025-11-27,chye_sim,39.7,3.81
2025-11-27,arugula,15.7,8.82
2025-11-27,pak_choi,63.4,3.84
2025-11-27,kale,20.8,8.99
2025-11-27,basil_thai,11.8,15.15
2025-11-27,coriander,15.4,13.62
2025-11-27,mint,5.5,12.3
2025-11-28,kai_lan,28.4,4.25
2025-11-28,baby_spinach,32.1,4.64
2025-11-28,lettuce_mambo,50.2,3.46
2025-11-28,chye_sim,54.0,4.9
2025-11-28,arugula,12.3,7.71
2025-11-28,pak_choi,52.8,2.83
2025-11-28,kale,18.8,8.6
2025-11-28,basil_thai,9.8,12.76
2025-11-28,coriander,12.8,12.16
2025-11-28,mint,9.6,14.5
2025-11-29,kai_lan,18.9,5.1
2025-11-29,baby_spinach,23.7,6.57
2025-11-29,lettuce_mambo,51.3,3.25
2025-11-29,chye_sim,22.5,4.18
2025-11-29,arugula,13.0,7.89
2025-11-29,pak_choi,63.2,3.85
2025-11-29,kale,18.6,10.18
2025-11-29,basil_thai,14.7,17.74
2025-11-29,coriander,11.9,10.98
2025-11-29,mint,11.8,12.73
2025-11-30,kai_lan,19.3,4.16
2025-11-30,baby_spinach,33.2,5.91
2025-11-30,lettuce_mambo,48.3,3.53
2025-11-30,chye_sim,19.6,3.56
2025-11-30,arugula,16.4,8.24
2025-11-30,pak_choi,59.8,3.33
2025-11-30,kale,19.0,8.86
2025-11-30,basil_thai,5.7,13.07
2025-11-30,coriander,10.6,9.53
2025-11-30,mint,7.6,15.59
2025-12-01,kai_lan,44.8,5.4
2025-12-01,baby_spinach,37.8,6.7
2025-12-01,lettuce_mambo,51.9,4.01
2025-12-01,chye_sim,40.9,3.71
2025-12-01,arugula,14.5,8.45
2025-12-01,pak_choi,57.7,3.11
2025-12-01,kale,16.0,9.58
2025-12-01,basil_thai,10.9,13.89
2025-12-01,coriander,15.1,12.63
2025-12-01,mint,10.2,15.86
2025-12-02,kai_lan,64.4,3.8
2025-12-02,baby_spinach,48.7,5.52
2025-12-02,lettuce_mambo,64.8,3.83
2025-12-02,chye_sim,33.2,3.1
2025-12-02,arugula,13.6,6.75
2025-12-02,pak_choi,69.2,4.03
2025-12-02,kale,18.0,9.77
2025-12-02,basil_thai,9.2,14.12
2025-12-02,coriander,17.6,11.96
2025-12-02,mint,12.4,13.42
2025-12-03,kai_lan,61.7,4.57
2025-12-03,baby_spinach,42.7,5.6
2025-12-03,lettuce_mambo,59.9,3.75
2025-12-03,chye_sim,30.3,4.33
2025-12-03,arugula,15.1,8.47
2025-12-03,pak_choi,73.9,4.01
2025-12-03,kale,19.7,9.84
2025-12-03,basil_thai,9.6,15.03
2025-12-03,coriander,14.8,13.78
2025-12-03,mint,9.8,13.74
2025-12-04,kai_lan,63.1,3.15
2025-12-04,baby_spinach,20.7,6.72
2025-12-04,lettuce_mambo,59.0,3.9
2025-12-04,chye_sim,25.4,3.99
2025-12-04,arugula,17.5,8.66
2025-12-04,pak_choi,64.0,3.35
2025-12-04,kale,19.1,7.58
2025-12-04,basil_thai,11.1,16.18
2025-12-04,coriander,11.9,11.27
2025-12-04,mint,7.2,12.84
2025-12-05,kai_lan,45.7,3.15
2025-12-05,baby_spinach,38.8,6.68
2025-12-05,lettuce_mambo,54.8,2.81
2025-12-05,chye_sim,26.5,4.62
2025-12-05,arugula,7.4,7.72
2025-12-05,pak_choi,53.2,3.78
2025-12-05,kale,17.4,9.86
2025-12-05,basil_thai,11.3,17.57
2025-12-05,coriander,14.7,12.41
2025-12-05,mint,6.3,15.43
2025-12-06,kai_lan,26.9,4.11
2025-12-06,baby_spinach,29.8,4.59
2025-12-06,lettuce_mambo,53.1,4.19
2025-12-06,chye_sim,27.5,3.21
2025-12-06,arugula,11.3,8.59
2025-12-06,pak_choi,43.3,3.12
2025-12-06,kale,22.3,9.74
2025-12-06,basil_thai,11.9,17.6
2025-12-06,coriander,16.7,12.72
2025-12-06,mint,13.4,13.74
2025-12-07,kai_lan,26.8,4.8
2025-12-07,baby_spinach,33.6,5.53
2025-12-07,lettuce_mambo,46.7,4.72
2025-12-07,chye_sim,28.0,3.63
2025-12-07,arugula,13.5,7.91
2025-12-07,pak_choi,53.6,3.7
2025-12-07,kale,16.0,9.82
2025-12-07,basil_thai,15.0,15.65
2025-12-07,coriander,14.7,11.44
2025-12-07,mint,8.5,13.7
2025-12-08,kai_lan,40.9,5.14
2025-12-08,baby_spinach,22.0,6.78
2025-12-08,lettuce_mambo,55.3,3.95
